1	Todo lo que hay que entender sobre la decisión –o no– de poner más vacunas en más brazos (por ejemplo, usar las 1º dosis en muchos y si es necesario retrasar la 2º) está en esta excelente nota de Nora Bär. https://t.co/A0I03DyxgO
1	@ernestorr Querido y siempre predispuesto Ernesto...pregunta importante. Aquellos vacunados trasmiten la enfermedad con carga viral alta? Digo porque si son portadores pero están inmunizados cual sería el grado de contagio que ellos poseen??
2	"""Necesitamos vacunarnos y estamos listos para hacerlo! No escuchen a los agoreros de siempre, como @RubinsteinOk que esta haciendo campaña para ser diputado y tener fueros para no se juzgado x su desastrosa gestión!""  Lo digo en ésta nota de @Ambitocom 👇  https://t.co/JuiR1j3HK1"
2	@CarolinaMoises @RubinsteinOk @Ambitocom Se tenia que decir y se dijoooo... en tu cara @RubinsteinOk  no se hace politica con la salud de un pais, gracias diputada nacional @CarolinaMoises por sacarle la careta a los que siempre nos engañan, lean @Ambitocom
3	Como seguramente esta noticia la van a usar en Argentina con fines proselitistas, quiero decir que el acuerdo entre Pfizer e Israel nos va a ser útil a todos. https://t.co/AFMw7ybJRU Me adelanto, porque el medio hegemónico no tan hegemónico ya lo está presentando como polémico. https://t.co/1w8hupcIyA
3	@spitta1969 Estaría bueno que también lo fuera para Palestina que en éste momento no está contemplado... o sea Palestina no tiene ningún arreglo con ninguna empresa!!!!! E Israel no colabora con nada de eso
4	Como seguramente esta noticia la van a usar en Argentina con fines proselitistas, quiero decir que el acuerdo entre Pfizer e Israel nos va a ser útil a todos. https://t.co/AFMw7ybJRU Me adelanto, porque el medio hegemónico no tan hegemónico ya lo está presentando como polémico. https://t.co/1w8hupcIyA
4	@spitta1969 @silviarienzo Campaña en contra de Pfizer para después salir a decir que no va a llegar esa vacuna por estás razones... Pero en realidad nunca la quisieron comprar. Todo armado.
5	La vacuna rusa es buena y es segura y la decisión de comprarla fue, por lo tanto, excelente. Quienes hoy en lugar de celebrar se enojan: soltar. Seguramente encontrarán algún otro motivo para indignarse, pero ahora están qeudando como unos giles.
5	@NicoOlsze Disculpa,no están quedando como giles,son una banda de miserables HDP que anteponen sus negocios y el antiperonismo visceral q los caracteriza a  cualquier cosa,incluida la salud y la vida de su propia gente.
6	Sé q no sirve para nada subir esto, pero por lo menos para que quede registro de q científicos rusos tienen críticas bien fundamentadas con respecto a Sputnik. https://t.co/8InJnkRUEk Todo es tan pasajero en Argentina. Todo es fugaz. Todo lo extraño se diluye en escándalos aún mas extraños.
6	@spitta1969 Excelente aporte, Sandra. Cierto, ya de eso no se habla porque cada día hay un escándalo que tapa a otro, pero es bueno divulgar esta informaci´n, que viene de los propios científicos rusos
7	Sé q no sirve para nada subir esto, pero por lo menos para que quede registro de q científicos rusos tienen críticas bien fundamentadas con respecto a Sputnik. https://t.co/8InJnkRUEk Todo es tan pasajero en Argentina. Todo es fugaz. Todo lo extraño se diluye en escándalos aún mas extraños.
7	@spitta1969 ¡Sí sirve! Muchas gracias, lo reviso con cuidado. En México 🇲🇽 también se compró #SputnikV y también sentimos que hay razones para estar intranquilos o cuando menos muy atentos. Saludos allá, 🇦🇷
8	Sé q no sirve para nada subir esto, pero por lo menos para que quede registro de q científicos rusos tienen críticas bien fundamentadas con respecto a Sputnik. https://t.co/8InJnkRUEk Todo es tan pasajero en Argentina. Todo es fugaz. Todo lo extraño se diluye en escándalos aún mas extraños.
8	@spitta1969 Si esto es así, entonces los vacunados pueden volverse supercontagiadores (habría que aislarlos) y esto va para todas las vacunas, no solo la rusa.  Cuál es tu opinion? Gracias! https://t.co/k0RwT0nUOB
9	Sé q no sirve para nada subir esto, pero por lo menos para que quede registro de q científicos rusos tienen críticas bien fundamentadas con respecto a Sputnik. https://t.co/8InJnkRUEk Todo es tan pasajero en Argentina. Todo es fugaz. Todo lo extraño se diluye en escándalos aún mas extraños.
9	"@spitta1969 YO ENTIENDO, QUE ""THE LANCE"" ES IMPORTANTE, PERO NO ES LA BIBLIA. LO UNICO QUE HACE, BASICAMENTE ES PUBLICAR LOS INFORMES QUE LE ENVIAN. NO HACEN INVESTIGACION. ASI QUE TODO ES UN 👀👀👀👀👀😒"
10	Me echan del grupo, pero no pueden dejar de hablar de mi. Falta uno que hierva el conejo. https://t.co/kr8QbE5Dbg Hace tiempo que ese Leopoldo Bloom está en esos grupos. No es un becario mas. No es su nombre. Qué ganas de echarme tienen!!
10	@spitta1969 Curioso, en un grupo de Farmacéuticos, alguien me pasó los mensajes, de una Farm. qué dijo lo mismo de mí, con exactas palabras...wtf? Les ponen un chip? para decir exactamente lo mismo? 🤔
11	Me echan del grupo, pero no pueden dejar de hablar de mi. Falta uno que hierva el conejo. https://t.co/kr8QbE5Dbg Hace tiempo que ese Leopoldo Bloom está en esos grupos. No es un becario mas. No es su nombre. Qué ganas de echarme tienen!!
